SamplingRate,LoadForce,RotatingSpeed,SensorLocation,FaultComponent,FaultSize,FileName
48000,2,1750,DriveEnd,Ball,0.021,228.mat
48000,3,1730,DriveEnd,Ball,0.021,229.mat
48000,0,1797,DriveEnd,InnerRace,0.021,213.mat
48000,1,1772,DriveEnd,InnerRace,0.021,214.mat
48000,2,1750,DriveEnd,InnerRace,0.021,215.mat
48000,3,1730,DriveEnd,InnerRace,0.021,217.mat
48000,0,1797,DriveEnd,OuterRace12,0.021,262.mat
48000,1,1772,DriveEnd,OuterRace12,0.021,263.mat
48000,2,1750,DriveEnd,OuterRace12,0.021,264.mat
48000,3,1730,DriveEnd,OuterRace12,0.021,265.mat
48000,0,1797,DriveEnd,OuterRace3,0.021,250.mat
48000,1,1772,DriveEnd,OuterRace3,0.021,251.mat
48000,2,1750,DriveEnd,OuterRace3,0.021,252.mat
48000,3,1730,DriveEnd,OuterRace3,0.021,253.mat
48000,0,1797,DriveEnd,OuterRace6,0.021,238.mat
48000,1,1772,DriveEnd,OuterRace6,0.021,239.mat
48000,2,1750,DriveEnd,OuterRace6,0.021,240.mat
48000,3,1730,DriveEnd,OuterRace6,0.021,241.mat
12000,0,1797,None,None,0,97.mat
12000,1,1772,None,None,0,98.mat
12000,2,1750,None,None,0,99.mat
12000,3,1730,None,None,0,100.mat
